,url,title,date,category,description
133,https://www.youtube.com/watch?v=Fs-ycL9qScA,Beginning The Base! - Hermitcraft 9: #16,2022-05-31,main,
134,https://www.youtube.com/watch?v=sFUBH0Dxky4,The Ice Fortress Rises! - Hermitcraft 9: #17,2022-06-16,main,
1,https://www.youtube.com/watch?v=l0lCe-q5nzU,Hermitcraft - Working on the fortress area!,2022-06-20,VOD,"Tango starts connecting the (as of yet, unnamed) Deepfrost Citadel to the terrain below. "
135,https://www.youtube.com/watch?v=W3-Ve1tZz0k,The Deep Frost Citadel! - Hermitcraft 9: #18,2022-06-30,main,
2,https://www.youtube.com/watch?v=cUDgmCi1psQ,Hermitcraft! - I'm lichen the snow,2022-07-01,VOD,
136,https://www.youtube.com/watch?v=9ia9oZ06_GA,Custom Sculk Farm! - Hermitcraft 9: #19,2022-07-07,main,
137,https://www.youtube.com/watch?v=hOe6S9UyRuM,Music Disc Mayhem! - Hermitcraft 9: #20,2022-07-14,main,
3,https://www.youtube.com/watch?v=2xyum9qBuw4,Decked Out 2 Design Chat!,2022-07-19,VOD,
4,https://www.youtube.com/watch?v=MjTJb88qnLc,Hermitcraft - Decked Out Dig Planning,2022-07-21,VOD,
138,https://www.youtube.com/watch?v=keMh6H27-YI,Caves and Craniums! - Hermitcraft 9: #21,2022-07-23,main,
5,https://www.youtube.com/watch?v=02bs28IykpI,Hermitcraft - Prepping for level 1 Decked Out,2022-08-03,VOD,
6,https://www.youtube.com/watch?v=Rx5nnFufOdE,Hermitcraft -Frozen Tombs Overview and Moving Day,2022-08-06,VOD,
139,https://www.youtube.com/watch?v=7TqnNgvbLtY,DECKED OUT 2 Begins NOW! - Hermitcraft 9: #22,2022-08-06,main,
7,https://www.youtube.com/watch?v=QJwYIrTAtoc,Hermitcraft - Ice Farm Prep and Decked Out Detailing,2022-08-09,VOD,
140,https://www.youtube.com/watch?v=VorLrPTBzCY,Two New Farms I NEEDED! - Hermitcraft 9: #23,2022-08-13,main,
8,https://www.youtube.com/watch?v=7CX2B9LtG0A,Hermitcraft Friday!,2022-08-14,VOD,
9,https://www.youtube.com/watch?v=SDv4EEvNL-Q,"Hermitcraft! Bubbles, Drips, and Fungus",2022-08-16,VOD,
141,https://www.youtube.com/watch?v=5_ySM7krQq4,The Dungeon Master Awakens! - Hermitcraft 9: #24,2022-08-20,main,
10,https://www.youtube.com/watch?v=hBqEg3XEDxg,"Hermitcraft - The Podcast?! with Bdubs, Scar, Grian, Cub",2022-08-21,VOD,
11,https://www.youtube.com/watch?v=Zwg91iFSpv4,Hermitcraft - Designing a Scoreboard,2022-08-23,VOD,
142,https://www.youtube.com/watch?v=bFYzmXjCGIY,The Greatest Dungeon Door Ever! - Hermitcraft 9: #25,2022-08-30,main,
12,https://www.youtube.com/watch?v=dRtTblotSFk,Hermitcraft - Entrance To Decked Out and SURPRISE!,2022-08-31,VOD,
13,https://www.youtube.com/watch?v=0nrVeGa4eyM,Hermitcraft - This stream cost me 4 totems.,2022-09-01,VOD,
143,https://www.youtube.com/watch?v=CNQUYFm3nTs,Fully Automated Storage & Pearly Promotions! - Hermitcraft 9: #26,2022-09-08,main,
14,https://www.youtube.com/watch?v=_poMH2-iD18,Hermitcraft - Prepping for Decked Out redstone,2022-09-12,VOD,
15,https://www.youtube.com/watch?v=3GSnHXmN3JU,Hermitcraft - Decked Out Feature Chat,2022-09-13,VOD,
144,https://www.youtube.com/watch?v=nEN-kzS8Zqg,Let's Shuffle Some Cards! - Hermitcraft 9: #27,2022-09-15,main,
16,https://www.youtube.com/watch?v=a0TbvvjIGQE,Hermitcraft - Impromptu Basalt Generator that CRANKS!,2022-09-24,VOD,
145,https://www.youtube.com/watch?v=VLRcibQF5o4,My TNT Bombarding Game! - Hermitcraft 9: #28,2022-09-29,main,
146,https://www.youtube.com/watch?v=yX8A7GG6tD8,Let's CLANK it UP! - Hermitcraft 9: #29,2022-10-07,main,
17,https://www.youtube.com/watch?v=QqF7ZqUw3nE,Hermitcraft Stream - Making Artifacts for each Hermit!,2022-10-09,VOD,
18,https://www.youtube.com/watch?v=PNp4QPjYqPo,Hermitcraft - Decked Out Detail Work!,2022-10-11,VOD,
19,https://www.youtube.com/watch?v=ggPlssQp1yY,Hermitcraft - Tango vs Ancient City!,2022-10-14,VOD,
20,https://www.youtube.com/watch?v=JCvvytjsqxw,Hermitcraft - Hermit Artifact Lore!,2022-10-18,VOD,
147,https://www.youtube.com/watch?v=QWzdSP-U2rc,The HEARTBEAT is Back!! - Hermitcraft 9: #30,2022-10-19,main,
