label,track,start,end,score
Archilochus,0,-680,-645,51
Ashurbanipal,1,-685,-631,73
Draco (legislator),2,-650,-600,54
Necho II,3,-700,-595,44
Psamtik II,4,-700,-589,40
Apries,5,-650,-567,39
Aesop,6,-620,-564,105
Nebuchadnezzar II,7,-642,-561,89
Alcaeus,8,-630,-560,48
Solon,9,-638,-558,79
Stesichorus,10,-630,-555,35
Zoroaster,11,-628,-551,123
Sappho,12,-650,-550,112
Thales of Miletus,13,-650,-548,117
Anaximander,14,-620,-547,87
Nabonidus,15,-615,-538,48
Cyrus the Great,16,-600,-530,135
Mahavira,17,-599,-527,81
Amasis II,18,-610,-526,46
Anaximenes of Miletus,19,-585,-525,78
Cambyses II,20,-559,-522,69
Lucius Junius Brutus,21,-540,-509,39
Laozi,22,-604,-500,153
Ānanda,23,-600,-500,52
Sushruta,24,-600,-500,47
Himilco,25,-550,-500,31
Sun Tzu,26,-544,-496,112
Lucius Tarquinius Superbus,27,-600,-495,57
Cleisthenes,28,-565,-492,58
Pythagoras,29,-550,-490,160
Miltiades,30,-550,-489,49
Darius the Great,31,-550,-486,99
Anacreon,32,-570,-485,55
Śāriputra,33,-568,-484,46
The Buddha,34,-563,-483,214
Confucius,35,-552,-479,239
Xenophanes,36,-570,-478,73
Heraclitus,37,-535,-470,97
Parmenides,38,-515,-470,86
Simonides of Ceos,39,-556,-468,44
Xerxes I,40,-519,-465,84
Pāṇini,41,-520,-460,73
Ajatashatru,42,-500,-460,41
Themistocles,43,-524,-459,71
Aeschylus,44,-525,-456,104
Bacchylides,45,-516,-451,37
Pindar,46,-522,-450,68
Cimon,47,-510,-450,42
Epicharmus of Cos,48,-524,-435,32
Lucius Quinctius Cincinnatus,49,-519,-430,41
Empedocles,50,-490,-430,84
Phidias,51,-490,-430,70
Pericles,52,-494,-429,94
Anaxagoras,53,-500,-428,81
Zeno of Elea,54,-490,-425,78
Herodotus,55,-484,-425,147
Artaxerxes I,56,-500,-424,66
Protagoras,57,-486,-420,72
Hippocrates of Chios,58,-470,-410,40
Sophocles,59,-496,-406,154
Euripides,60,-480,-406,100
Alcibiades,0,-450,-404,67
Socrates,61,-470,-399,205
Thucydides,62,-460,-395,93
Mozi,63,-470,-391,56
Aristophanes,1,-448,-386,101
Hippocrates,64,-460,-370,123
Amyntas III of Macedon,2,-450,-370,33
Dionysius I of Syracuse,3,-430,-367,41
Antisthenes,4,-445,-365,62
Nectanebo I,5,-450,-362,40
Epaminondas,6,-418,-362,53
Democritus,65,-460,-360,106
Eudoxus of Cnidus,7,-408,-355,65
Xenophon,8,-430,-354,92
Plato,9,-427,-347,220
Archytas,10,-430,-345,57
Nectanebo II,11,-400,-343,44
Isocrates,12,-436,-338,48
Artaxerxes III,13,-425,-338,58
Philip II of Macedon,14,-385,-336,82
Praxiteles,15,-395,-330,53
Darius III,16,-380,-330,77
Bessus,17,-400,-329,45
Diogenes,18,-412,-323,84
Alexander the Great,19,-356,-323,220
Aristotle,20,-384,-322,231
Demosthenes,21,-384,-322,76
Antipater,22,-397,-319,46
Porus,23,-400,-316,51
Olympias,24,-375,-316,51
Eumenes,25,-362,-316,37
Apelles,26,-370,-306,48
Antigonus I Monophthalmus,27,-382,-301,51
Lysippos,28,-390,-300,49
Chandragupta Maurya,29,-340,-297,82
Cassander,30,-355,-296,46
Menander,31,-340,-292,70
Megasthenes,32,-350,-290,43
Mencius,33,-372,-289,76
Pytheas,34,-359,-289,58
Zhuang Zhou,35,-369,-288,71
Theophrastus,36,-371,-287,74
Ptolemy I Soter,37,-365,-285,78
Chanakya,38,-375,-283,125
Demetrius I Poliorcetes,39,-336,-283,44
Lysimachus,40,-361,-281,50
Seleucus I Nicator,41,-358,-281,73
Qu Yuan,42,-343,-278,58
Bindusara,43,-320,-273,53
Pyrrhus of Epirus,44,-318,-272,75
Pyrrho,45,-360,-270,50
Epicurus,46,-342,-270,100
Zeno of Citium,47,-334,-263,70
Ptolemy II Philadelphus,48,-308,-246,67
Callimachus,49,-320,-243,53
Aratus,50,-315,-240,39
Ashoka,51,-304,-232,164
Han Fei,52,-279,-232,59
Xunzi (philosopher),53,-313,-230,57
Aristarchus of Samos,54,-310,-230,72
Hamilcar Barca,55,-275,-228,59
Ptolemy III Euergetes,56,-284,-222,55
Hiero II of Syracuse,57,-308,-215,41
Apollonius of Rhodes,58,-295,-215,52
Archimedes,59,-287,-212,191
Qin Shi Huang,60,-259,-210,185
Li Si,61,-280,-208,47
Marcus Claudius Marcellus,62,-270,-208,34
Hasdrubal Barca,63,-245,-207,40
Quintus Fabius Pictor,64,-254,-201,31
Livius Andronicus,65,-280,-200,55
Emperor Gaozu of Han,66,-256,-195,61
Eratosthenes,67,-276,-194,102
Apollonius of Perga,68,-262,-190,69
Antiochus III the Great,69,-242,-187,62
Plautus,70,-250,-184,67
Philopoemen,71,-253,-183,34
Hannibal,72,-247,-183,116
Scipio Africanus,73,-235,-183,68
Modu Chanyu,74,-234,-174,41
Ennius,75,-239,-169,50
Antiochus IV Epiphanes,76,-215,-164,55
Kaṇāda,0,-200,-160,49
Terence,1,-185,-159,62
Cato the Elder,77,-234,-149,70
Masinissa,78,-238,-148,45
Tiberius Gracchus,2,-162,-133,52
Mithridates I of Parthia,3,-195,-132,49
Carneades,79,-213,-129,43
Scipio Aemilianus,4,-185,-129,46
Gaius Gracchus,5,-154,-122,44
Polybius,6,-200,-120,70
Hipparchus,7,-190,-120,77
Zhang Qian,8,-200,-114,41
Dong Zhongshu,9,-179,-104,31
Jugurtha,10,-160,-104,47
Emperor Wu of Han,11,-156,-87,68
Gaius Marius,12,-157,-86,65
Sima Qian,13,-145,-86,124
Sulla,14,-138,-78,68
Quintus Sertorius,15,-123,-72,39
Spartacus,16,-103,-71,86
Mithridates VI Eupator,17,-134,-63,65
Catiline,18,-108,-62,47
Tigranes the Great,19,-140,-55,73
Lucretius,20,-94,-55,81
Catullus,21,-84,-54,74
Marcus Licinius Crassus,22,-115,-53,69
Posidonius,23,-135,-51,55
Ptolemy XII Auletes,24,-117,-51,50
Pompey,25,-106,-48,88
Cato the Younger,26,-95,-46,52
Vercingetorix,27,-80,-46,68
Julius Caesar,28,-100,-44,217
Cicero,29,-106,-43,135
Marcus Junius Brutus,30,-85,-42,65
Sallust,31,-86,-35,52
Mark Antony,32,-83,-30,92
Cleopatra,33,-69,-30,158
Diodorus Siculus,34,-90,-20,72
Virgil,35,-70,-19,177
Vitruvius,36,-80,-15,80
Horace,37,-65,-8,103
Herod the Great,38,-74,-4,73
Hillel the Elder,39,-50,8,33
Augustus,40,-63,14,214
Livy,41,-59,17,89
Ovid,42,-43,17,143
Saint Joseph,43,-30,20,90
Arminius,44,-17,21,75
Strabo,45,-64,23,95
Wang Mang,46,-45,23,49
Jesus,47,-7,30,281
John the Baptist,48,-6,30,115
Tiberius,49,-42,37,104
Caligula,50,12,41,116
James the Great,51,1,44,88
Philo,52,-15,45,57
"Mary, mother of Jesus",53,-18,48,162
Claudius,54,-10,54,97
Boudica,55,30,61,76
Seneca the Younger,56,-4,65,100
Saint Peter,57,-1,65,129
Paul the Apostle,58,5,66,154
Mark the Evangelist,59,12,68,84
Nero,60,37,68,113
Thomas the Apostle,61,1,72,83
Matthew the Apostle,62,10,74,92
Vespasian,63,9,79,91
Pope Linus,64,10,79,97
Pliny the Elder,65,20,79,91
Philip the Apostle,66,5,80,74
Kujula Kadphises,67,20,80,31
Titus,68,41,81,90
Dioscorides,69,40,90,49
Domitian,0,51,96,92
Nerva,70,30,98,82
John the Apostle,71,11,99,86
Josephus,72,37,100,75
Martial,73,40,104,56
Decebalus,1,100,106,46
Simon the Zealot,2,100,107,75
Ignatius of Antioch,74,35,108,65
Pliny the Younger,3,61,113,75
Pope Alexander I,4,100,116,85
Trajan,5,53,117,111
Plutarch,75,40,120,101
Tacitus,6,56,120,92
Cai Lun,76,48,121,73
Apollodorus of Damascus,7,50,125,45
Suetonius,8,70,126,70
Epictetus,9,50,138,71
Hadrian,10,76,138,98
Zhang Heng,11,78,139,62
Kanishka,12,78,144,52
Papias of Hierapolis,13,70,150,40
Aśvaghoṣa,14,80,150,45
Polycarp,15,69,155,55
Marcion of Sinope,16,85,160,46
Antoninus Pius,17,86,161,89
Ptolemy,18,100,170,122
Apuleius,19,125,170,76
Arrian,20,89,175,56
Pausanias (geographer),21,110,180,55
Gaius (jurist),22,120,180,40
Marcus Aurelius,23,121,180,116
Commodus,24,161,192,81
Lucian,25,120,200,73
Irenaeus,26,130,202,63
Papinian,27,142,211,39
Septimius Severus,28,146,211,86
Clement of Alexandria,29,150,215,59
Julia Domna,30,165,217,43
Caracalla,31,188,217,86
Macrinus,32,164,218,78
Tertullian,33,150,220,69
Cao Cao,34,155,220,62
Guan Yu,35,162,220,46
Elagabalus,36,203,222,80
Liu Bei,37,161,223,45
Cao Pi,38,187,226,45
Cassius Dio,39,150,229,65
Zhuge Liang,40,181,234,48
Severus Alexander,41,208,235,77
Maximinus Thrax,42,173,238,72
Ardashir I,43,180,242,63
Philip the Arab,44,204,249,76
Nagarjuna,45,150,250,108
Herodian,46,170,250,37
Sima Yi,47,179,251,33
Origen,48,185,254,68
Gallienus,49,218,268,67
Plotinus,50,205,270,78
Mani (prophet),51,216,274,70
Aurelian,52,214,275,82
Zenobia,53,240,275,60
Emperor Wu of Jin,54,236,290,35
Liu Hui,55,225,295,38
Galen,56,200,300,117
Porphyry of Tyre,57,233,301,57
Saint George,58,275,303,88
Diocletian,59,244,316,87
Iamblichus,60,240,320,47
Tiridates III of Armenia,61,255,330,35
Pope Sylvester I,0,300,335,85
Arius,62,250,336,72
Constantine the Great,63,272,337,141
Eusebius,64,265,339,66
Saint Nicholas,65,250,350,99
Pappus of Alexandria,66,290,350,50
Anthony the Great,67,251,357,67
Constantius II,1,317,361,72
Wang Xizhi,2,321,361,34
Saint Marinus,68,275,366,39
Hilary of Poitiers,3,315,367,55
Athanasius of Alexandria,69,296,373,69
Ephrem the Syrian,4,306,373,48
Valentinian I,5,321,375,73
Ermanaric,70,291,376,38
Shapur II,6,309,379,61
Basil of Caesarea,7,329,379,72
Samudragupta,8,335,380,51
Pope Damasus I,9,305,384,80
Cyril of Jerusalem,10,313,386,45
Gregory of Nazianzus,11,329,389,70
Gregory of Nyssa,12,335,395,55
Theodosius I,13,347,395,88
Martin of Tours,14,316,397,77
Ambrose,15,339,397,79
Vasubandhu,16,300,399,45
Theon of Alexandria,17,335,400,33
John Chrysostom,18,349,407,75
Stilicho,19,359,408,51
Arcadius,20,377,408,72
Alaric I,21,400,410,77
Kumārajīva,22,344,413,44
Gwanggaeto the Great,23,374,413,34
Hypatia,24,360,415,101
Jerome,25,345,420,86
Faxian,26,340,422,46
Tao Yuanming,27,365,427,37
Augustine of Hippo,28,354,430,164
Bahram V,29,406,438,48
Mesrop Mashtots,30,362,440,68
Socrates of Constantinople,31,380,440,42
Cyril of Alexandria,32,376,444,60
Peter Chrysologus,33,380,450,34
Nestorius,34,381,451,63
Theodoric I,35,393,451,54
Attila,36,395,453,107
Flavius Aetius,37,390,454,64
Theodoret,38,393,457,38
Saint Patrick,39,385,461,71
Pope Leo I,40,390,461,86
Leo I (emperor),41,401,474,60
Gaiseric,42,389,477,61
Julius Nepos,43,430,480,71
Proclus,44,412,485,49
Syagrius,45,430,487,44
Zeno (emperor),46,425,491,65
Odoacer,47,433,493,72
Chandragupta II,48,400,500,44
Buddhaghosa,49,401,500,39
Zu Chongzhi,50,429,500,38
Romulus Augustulus,51,462,510,84
Clovis I,52,466,511,86
Anastasius I Dicorus,53,430,518,61
Boethius,54,480,525,74
Theodoric the Great,55,454,526,80
Anthemius of Tralles,56,474,534,42
Isidore of Miletus,57,442,537,40
Bodhidharma,58,483,540,61
Tribonian,59,475,542,34
Imru' al-Qais,60,501,544,33
Clotilde,61,474,545,42
Benedict of Nursia,62,480,547,79
Theodora (wife of Justinian I),63,500,548,60
Dionysius Exiguus,64,475,550,44
Aryabhata,65,476,550,92
Bumin Qaghan,66,490,552,31
Totila,67,510,552,50
Romanos the Melodist,68,490,556,33
Justinian I,69,482,565,104
Procopius,70,500,565,57
Belisarius,71,505,565,67
John Philoponus,72,490,570,36
Alboin,73,530,572,40
Khosrow I,74,501,579,61
Gregory of Tours,75,538,594,47
Columba,76,521,597,53
Pope Gregory I,77,540,604,95
Emperor Wen of Sui,78,541,604,41
Augustine of Canterbury,0,550,605,48
Antarah ibn Shaddad,79,525,608,33
Emperor Yang of Sui,1,569,617,35
Khadija bint Khuwaylid,2,557,619,90
Hamza ibn Abd al-Muttalib,3,568,625,46
Khosrow II,4,570,628,58
Chlothar II,5,584,629,53
Muhammad,6,571,632,229
Fatima,7,604,632,92
Abu Bakr,8,573,634,112
Isidore of Seville,9,560,636,71
Pope Honorius I,10,585,638,77
Abu Sufyan ibn Harb,11,580,640,51
Heraclius,12,575,641,86
Bilal ibn Rabah,13,581,642,61
Khalid ibn al-Walid,14,592,642,69
Umar,15,586,644,139
Emperor Taizong of Tang,16,598,649,51
Yazdegerd III,17,624,652,52
Abbas ibn Abd al-Muttalib,18,568,653,58
Uthman,19,574,656,98
Zubayr ibn al-Awwam,20,594,656,51
Salman the Persian,21,568,657,50
Ali,22,599,661,126
Xuanzang,23,602,664,68
Constans II,24,630,668,61
Hasan ibn Ali,25,625,669,72
Brahmagupta,26,598,670,117
Aisha,27,605,678,97
Abu Hurayra,28,602,679,47
Mu'awiya I,29,603,680,83
Husayn ibn Ali,30,626,680,88
Yazid I,31,646,683,62
Anania Shirakatsi,32,610,685,32
Ibn Abbas,33,619,688,51
Abd Allah ibn al-Zubayr,34,624,692,54
Abd Allah ibn Umar ibn al-Khattab,35,610,693,41
Asparuh of Bulgaria,36,640,701,54
Kahina,37,668,703,41
Wu Zetian,38,624,705,67
Abd al-Malik ibn Marwan,39,646,705,68
Ali al-Sajjad,40,659,713,46
Pepin of Herstal,41,645,714,44
Al-Hajjaj ibn Yusuf,42,661,714,38
Tariq ibn Ziyad,43,670,720,58
Hasan al-Basri,44,642,728,37
Pope Gregory II,45,669,731,78
Abd al-Rahman ibn Abd Allah al-Ghafiqi,46,650,732,38
Muhammad al-Baqir,47,677,733,41
Bede,48,672,735,70
Leo III the Isaurian,49,675,741,68
Charles Martel,50,688,741,83
"Liutprand, King of the Lombards",51,680,744,38
John of Damascus,52,675,749,67
An Lushan,53,703,757,37
Wang Wei,54,699,759,42
Emperor Xuanzong of Tang,55,685,762,42
Li Bai,56,701,762,160
Padmasambhava,57,717,762,56
Ja'far al-Sadiq,58,702,765,65
Abu Hanifa,59,699,767,80
Pepin the Short,60,715,768,82
Du Fu,61,712,770,119
Constantine V,62,718,775,59
Roland,63,737,778,57
Abd al-Rahman I,64,731,788,60
Malik ibn Anas,65,711,795,67
Trisong Detsen,66,742,798,31
Musa al-Kazim,67,745,799,41
Irene of Athens,68,752,803,63
Alcuin,69,724,804,54
Harun al-Rashid,70,766,809,85
Charlemagne,71,748,814,168
Krum,72,755,814,49
Abu Nuwas,73,756,814,148
Jabir ibn Hayyan,74,721,815,91
Pope Leo III,75,750,816,80
Ali al-Rida,76,770,818,47
Al-Shafi'i,77,767,820,66
Adi Shankara,78,788,820,81
Thomas the Slav,0,800,823,35
Han Yu,79,768,824,45
Al-Ma'mun,80,786,833,57
Kūkai,81,774,835,43
Babak Khorramdin,82,798,838,41
Louis the Pious,83,778,840,82
Al-Mu'tasim,84,796,842,49
Abu Tammam,1,804,845,35
Al-Khwarizmi,85,750,846,152
Bai Juyi,86,772,846,48
Ahmad ibn Hanbal,87,780,855,72
Lothair I,88,795,855,65
Kenneth MacAlpin,2,810,858,55
Al-Jahiz,89,775,868,47
Ali al-Hadi,3,829,868,34
Al-Kindi,4,801,870,74
Muhammad al-Bukhari,5,810,870,76
Hunayn ibn Ishaq,6,808,873,35
Muslim ibn al-Hajjaj,7,817,875,62
Louis II of Italy,8,825,875,57
John Scotus Eriugena,9,800,877,51
Charles the Bald,10,823,877,79
Rurik,11,830,879,70
Ahmad ibn Tulun,12,835,884,33
Basil I,13,811,886,59
Abbas ibn Firnas,14,810,887,56
Charles the Fat,15,839,888,70
Abu Hanifa Dinawari,16,828,895,34
Alfred the Great,17,849,899,93
Al-Mu'tadid,18,854,902,41
Boris I of Bulgaria,19,828,907,44
Árpád,20,845,907,53
Ingólfr Arnarson,21,848,910,51
Oleg the Wise,22,845,912,63
Budai,23,850,916,40
Al-Tabari,24,839,922,61
Edward the Elder,25,874,924,58
Abu Bakr al-Razi,26,866,925,88
Simeon I of Bulgaria,27,864,927,59
Pope John X,28,860,929,72
Rollo,29,846,932,54
Harald Fairhair,30,851,933,51
Abu al-Hasan al-Ash'ari,31,873,935,46
"Wenceslaus I, Duke of Bohemia",32,907,935,47
Henry the Fowler,33,876,936,64
Æthelstan,34,895,939,71
Rudaki,35,859,941,61
Saadia Gaon,36,882,942,37
Taejo of Goryeo,37,877,943,38
Abu Mansur al-Maturidi,38,893,944,34
Edmund I,39,920,946,59
Al-Farabi,40,872,951,83
Eadred,41,923,955,58
Al-Masudi,42,896,957,64
Constantine VII,43,905,959,60
Eadwig,44,940,959,58
