parent,subregion,span_start,span_end
Russia,Modern Russia,0,0.67
Russia,Ruthenia,0.67,1
Eastern Europe,Poland,0,0.4
Eastern Europe,Poland - East,0,0.133
Eastern Europe,Poland - West,0.133,0.267
Eastern Europe,Poland - South,0.267,0.4
Eastern Europe,Hungary,0.4,0.8
Eastern Europe,Hungary - Royal,0.4,0.6
Eastern Europe,Hungary - Ottoman,0.6,0.8
Eastern Europe,Romania,0.8,1
Eastern Europe,Wallachia,0.8,0.9
Eastern Europe,Moldavia,0.9,1
Scandinavia,Denmark,0.75,1
Scandinavia,Norway,0.5,0.75
Scandinavia,Sweden,0.25,0.5
Scandinavia,Finland,0,0.25
Scandinavia,Denmark-Norway,0.5,1
Scandinavia,Sweden-Norway,0.25,0.75
Scandinavia,Sweden-Finland,0,0.5
Central Europe,Netherlands,0,0.125
Central Europe,Belgium,0.125,0.25
Central Europe,Benelux,0,0.25
Central Europe,Rhine,0.25,0.5
Central Europe,Prussia,0.5,0.625
Central Europe,Germany,0.25,0.625
Central Europe,Bohemia,0.625,0.75
Central Europe,Austria,0.75,0.875
Central Europe,Switzerland,0.875,1
Central Europe,Alps,0.75,1
Iberia,Portugal,0,0.25
Iberia,Castille,0.25,0.5
Iberia,Aragon,0.5,0.75
Iberia,Andalucia,0.75,1
Iberia,Iberia West,0,0.5
Iberia,Spain,0.25,1
Iberia,Iberia East,0.5,1
Italy,Italy North,0,0.33
Italy,Umbria,0.33,0.67
Italy,Italy South,0.67,1
Britain,England,0.5,1
Britain,Scotland,0.25,0.5
Britain,Ireland,0,0.25
Britain,Great Britain,0.25,1
Balkans,Illyria,0,0.4
Balkans,Croatia,0,0.2
Balkans,Serbia,0.2,0.4
Balkans,Thrace,0.4,0.6
Balkans,Greece,0.6,1
Balkans,Macedonia,0.6,0.8
Balkans,Athens,0.8,1
North Africa,Egypt,0.5,1
North Africa,Egypt Intermediate,0.55,0.95
North Africa,Maghreb,0,0.5
North Africa,Tunis,0,0.133
North Africa,Algeria,0.133,0.267
North Africa,Morocco,0.267,0.5
China,China - North,0.5,1
China,China - South,0,0.5
China,China - Mainland,0.25,1
China,China - Taiwan,0,0.25
Korea,Korea - North,0,0.33
Korea,Korea - East,0.33,0.67
Korea,Korea - West,0.67,1
Korea,Korea - South,0.33,1
Korea,North Korea,0,0.5
Korea,South Korea,0.5,1
